name,phone,company,postcode,ls_area,pms,segment,tier,adg_corporate,adg_group,bda_good_practice,website,notes
The Dental Architect,01138 684324,The Dental Architect,LS1 2EE,Leeds city centre,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thedentalarchitect.com,
Church View Dental Care,01132 647133,Church View Dental Care,LS15 8BB,Cross Gates/Austhorpe,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.churchviewdentalcare.co.uk,
The Tooth Spa,01132 625545,The Tooth Spa,LS7 3LW,Chapel Allerton,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.thetoothspaleeds.co.uk,
Chelwood Dental Care,01132 668459,Chelwood Dental Care,LS8 2AT,Roundhay/Fearnville,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,No,,No,https://www.chelwooddentalleeds.co.uk,
Invisiblebraces4u Leeds,02037 450494,Invisiblebraces4u Leeds,LS1 2SP,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Briggate Dental Practice,01132 446095,Briggate Dental Practice,LS1 4AF,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smmmile Store,01134 800000,Smmmile Store,LS1 5EN,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Park Row Dental Practice,01132 430371,The Park Row Dental Practice,LS1 5JA,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.theparkrowdentalpractice.co.uk,website unreachable
Paul Calder Dental Limited,01132 454550,Paul Calder Dental Limited,LS1 6AZ,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
VICI Dental,0776 7646165,VICI Dental,LS1 6JS,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Headrow Dental Practice,01132 434014,Headrow Dental Practice,LS1 6PU,Leeds city centre,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
EvoDental Leeds Clinic,0800 4703719,EvoDental Leeds Clinic,LS10 1AB,Hunslet/South Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.evodental.com,website unreachable
Trinity House Orthodontics LEEDS,01924 369696,Trinity House Orthodontics LEEDS,LS10 2AP,Hunslet/South Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.trinityhouse-orthodontics.co.uk,
Hunslet Dental Surgery,01909 562475,Hunslet Dental Surgery,LS10 2AR,Hunslet/South Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LS10 Dental Care,01132 776606,LS10 Dental Care,LS10 2EU,Hunslet/South Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Lingwell Croft Dental Practice,01132 702820,Lingwell Croft Dental Practice,LS10 3NB,Hunslet/South Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Town Street Dental Practice,01132 717477,Town Street Dental Practice,LS10 3NG,Hunslet/South Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.boyds-dentalpractice.co.uk,website unreachable
Headquarters,01132 208500,Headquarters,LS11 0DL,Beeston/Holbeck,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leedscommunityhealthcare.nhs.uk,
Night and day emergency dentist,0759 4594525,Night and day emergency dentist,LS11 5LE,Beeston/Holbeck,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Leeds City Dentalcare,01132 705020,Leeds City Dentalcare,LS11 6AW,Beeston/Holbeck,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Leeds City Dentalcare Limited,01132 705020,Leeds City Dentalcare Limited,LS11 6AW,Beeston/Holbeck,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leedscitydentalcare.co.uk,
Maghaireh Limited,0790 8490226,Maghaireh Limited,LS11 8PR,Beeston/Holbeck,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Holbeck Dental Practice,01132 448259,The Holbeck Dental Practice,LS11 9NS,Beeston/Holbeck,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HMP Leeds,01132 032629,HMP Leeds,LS12 2TJ,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Parish Dental Practice,01132 638509,Parish Dental Practice,LS12 3AQ,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.parishdental.co.uk,
Whingate Dental Ltd,01132 638337,Whingate Dental Ltd,LS12 3BG,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.carholmedentalgroup.co.uk,
Ridge Road Dental Practice,01132 633199,Ridge Road Dental Practice,LS12 3PE,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.infinitydentalclinic.co.uk,
Indigo Dental,01132 632960,Indigo Dental,LS12 4AD,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Windmill Dental,01132 798282,Windmill Dental,LS12 4NQ,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
HQ Dental,01132 796667,HQ Dental,LS12 4QG,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.hqdental.co.uk,
UrgentCare Dental,01138 683185,UrgentCare Dental,LS12 5JB,Wortley/Farnley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.urgentcaredental.co.uk,
The Poplars Dental Practice,01132 564161,The Poplars Dental Practice,LS13 1LT,Bramley/Rodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.poplarsdental.co.uk,
Xen Smiles Limited,01132 576026,Xen Smiles Limited,LS13 4AJ,Bramley/Rodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Swinnow Road Dental Practice,01132 565214,Swinnow Road Dental Practice,LS13 4NX,Bramley/Rodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Scholes Dental Care,01132 323878,Scholes Dental Care,LS15 4BN,Cross Gates/Austhorpe,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
68 Dental,01132 641657,68 Dental,LS15 8DZ,Cross Gates/Austhorpe,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
21D Leeds,0800 0073199,21D Leeds,LS15 8GB,Cross Gates/Austhorpe,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.21d.co.uk,
Vitruvian Dental Studio,01133 220861,Vitruvian Dental Studio,LS15 8GH,Cross Gates/Austhorpe,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://vdsleeds.co.uk,
Advance Dental Care,01132 751114,Advance Dental Care,LS16 5BG,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Far Headingley Dental Care,01132 751323,Far Headingley Dental Care,LS16 5LG,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.fhdc.co.uk,website unreachable
West Park Dental Care - Leeds,01132 786910,West Park Dental Care - Leeds,LS16 5LN,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.westparkdentalcare.co.uk,
Lawnswood Dental Care,01132 678129,Lawnswood Dental Care,LS16 6HN,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.lawnswooddentalcare.co.uk,
Smile Clinic North Leeds,01134 260080,Smile Clinic North Leeds,LS16 6QY,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Adel Dental Practice,01132 671628,Adel Dental Practice,LS16 7NR,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Parade Dental,01132 614228,The Parade Dental,LS16 7SR,Adel/Wharfedale,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
King Lane Dental Care Limited,01132 685711,King Lane Dental Care Limited,LS17 5AX,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.kldc.co.uk,website unreachable
The Temple Practice,01132 680886,The Temple Practice,LS17 6DW,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Street Lane Dental Centre,01132 689696,Street Lane Dental Centre,LS17 6HQ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Corner House Dental Practice,01132 665184,Corner House Dental Practice,LS17 6LD,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
The Dentist,0794 4353720,The Dentist,LS17 6PZ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.thedentsistuk.com,website unreachable
Street Lane Dental Implant Clinic,01132 682500,Street Lane Dental Implant Clinic,LS17 6RU,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Nursery Lane Dental,01132 686508,Nursery Lane Dental,LS17 7AQ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Primley Park Dentistry,01132 685645,Primley Park Dentistry,LS17 7HN,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.primleypark.com,
High Ash Dental Practice,01132 688391,High Ash Dental Practice,LS17 8RE,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Shadwell Dental Care Limited,01132 371191,Shadwell Dental Care Limited,LS17 8TJ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.shadwelldentalcare.co.uk,
Dental Excellence Harewood,01132 181919,Dental Excellence Harewood,LS17 9LQ,Moortown/Alwoodley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aesthetique Dental Care,01132 458066,Aesthetique Dental Care,LS2 7EQ,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Quarry House Dental Practice Partnership,0773 8076534,Quarry House Dental Practice Partnership,LS2 7PD,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
White 32 | Dental,01133 474000,White 32 | Dental,LS2 8DZ,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.white32.com,
Leeds Dental Institute,01132 440111,Leeds Dental Institute,LS2 9LU,Leeds city centre east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leedsteachinghospitals.com/patients/aboutus/hospitals/dental_institute.php,website unreachable
Clarendon Dental Spa,01132 459004,Clarendon Dental Spa,LS3 1AD,Burley/Kirkstall,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Kirkstall Road Dental Practice,0779 2722679,Kirkstall Road Dental Practice,LS4 2HD,Kirkstall/Burley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burley House Dental Care,01132 746160,Burley House Dental Care,LS4 2NZ,Kirkstall/Burley,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Headingley Dental Care Centre,01132 785630,Headingley Dental Care Centre,LS6 1EG,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Deu Dental Headingley,01132 784000,Deu Dental Headingley,LS6 2AD,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.deuhealth.co.uk,
Tracey Black's Dental Surgery,01132 788998,Tracey Black's Dental Surgery,LS6 3AN,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Langdale Dental,01132 751249,Langdale Dental,LS6 3HA,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smile Clinic Leeds (Headingley),01274 531567,Smile Clinic Leeds (Headingley),LS6 3HU,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
LS1dental,01132 786623,LS1dental,LS6 3PX,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.ls1dental.com,website unreachable
Meanwood Dental Practice,01132 785966,Meanwood Dental Practice,LS6 4AY,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Burton Croft Dental Care,01132 741780,Burton Croft Dental Care,LS6 4DN,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stonegate Dental,01132 930380,Stonegate Dental,LS6 4JE,Headingley/Hyde Park,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Meanwood Dental Ltd,01132 304010,Meanwood Dental Ltd,LS7 2PW,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Stainbeck Dental Surgery,01132 304010,Stainbeck Dental Surgery,LS7 2PW,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Leeds Urgent Dental Centre,01217 728886,Leeds Urgent Dental Centre,LS7 3JB,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Smiles on Harrogate Road,01133 000202,Smiles on Harrogate Road,LS7 3PD,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Aura Dental Studio,0790 0020903,Aura Dental Studio,LS7 3RD,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Chapeltown Dental Pain and Stain Removal Clinic,0775 8230223,Chapeltown Dental Pain and Stain Removal Clinic,LS7 4HP,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Montreal Dental Care,01132 621663,Montreal Dental Care,LS7 4LF,Chapel Allerton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Yorkshire Orthodontics Leeds,01943 465443,Yorkshire Orthodontics Leeds,LS8 1BW,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Precious Dental Care,01132 667370,Precious Dental Care,LS8 1NU,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Perfect Smile Clinic,01132 486777,Perfect Smile Clinic,LS8 3ES,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,Yes,,
Yorkshire Dental Suite,01138 879594,Yorkshire Dental Suite,LS8 3HA,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.yorkshiredentalsuite.co.uk/,
Oakwood Dental Practice,01132 402140,Oakwood Dental Practice,LS8 4AR,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Teeth,01132 490578,Teeth,LS8 4BA,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.teethatoakwood.co.uk,
Chana Dental Practice - Leeds,01132 623387,Chana Dental Practice - Leeds,LS8 4EZ,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Roundhay Road Dental,01132 490795,Roundhay Road Dental,LS8 4HT,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Jem Dental Care,01132 492136,Jem Dental Care,LS8 5DH,Roundhay/Fearnville,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
J H Sager Limited - Compton,01132 493428,J H Sager Limited - Compton,LS9 6AP,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
Zayra Dental Practice,01132 488398,Zayra Dental Practice,LS9 6NQ,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
David Beevers Day Unit,01133 929875,David Beevers Day Unit,LS9 7BE,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,https://www.leedsth.nhs.uk,website unreachable
The Dental Surgery Leeds,01132 495607,The Dental Surgery Leeds,LS9 9ED,Harehills/East Leeds,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),No,,No,,
