practice_name,also_known_as,address,postcode,yo_area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,provider_name,source,notes
Castlegate Dental Centre,,"1 Castlegate, York",YO1 9RN,York south,01904 653284,https://www.castlegate-dental.co.uk,Unknown,Dentally,high,castle-gate-dental-practice.portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,Castlegate Practice Limited,CQC directory (auto-downloaded),
Heslington Dental Practice,,"11-12 Main Street, Heslington, York",YO10 5EA,York south/east,01904 904500,https://www.heslingtondental.co.uk,Unknown,Dentally,high,heslington-dental.portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,Newby Dental Practice Ltd,CQC directory (auto-downloaded),Online booking via Dentally Portal
Blossom Dental  Care,,"25 Blossom Street, York",YO24 1AQ,York south-west,01904 654889,https://www.blossomdentalcare.co.uk,Unknown,Dentally,high,blossom-dental-care.dentr.net,Dentally confirmed,Tier 1 - Dentally integration ready,Denbond Limited,CQC directory (auto-downloaded),Online booking via Dentally Portal (legacy dentr.net redirect)
Ainsty Dental Practice,Dr Stephen Davies,"177 Boroughbridge Road, York",YO26 6AR,York west/Acomb,01904 786196,https://www.ainstydental.co.uk,Unknown,Dentally,high,ainsty-clinic.portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,Ainsty Dental Practice Limited,CQC directory (auto-downloaded),
York Dental,,"1 Pioneer Business Park,  Amy Johnson Way, York",YO30 4TN,York north/Clifton,01904 891160,https://yorkdentalpractice.co.uk,Unknown,Dentally,medium,Patient portal referenced on practice site; phone-first booking,Dentally likely,Tier 1 - Dentally integration ready,YD Practice Limited,CQC directory (auto-downloaded),Portal not linked on homepage — verify on call
Smile Care York,Smile Dental Care Group - York,"4 Tower Court, Oakdale Road, York",YO30 4WL,York north/Clifton,01753 523410,https://www.smiledentalcare.co.uk,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,Smile Care York Ltd,CQC directory (auto-downloaded),
Stamford Bridge Dental Practice,,"27 Viking Road, Stamford Bridge",YO41 1BS,York east/Dunnington,01759 372360,https://www.stamfordbridgedental.com,Unknown,Dentally,high,Dentally:portal.dental,Dentally confirmed,Tier 1 - Dentally integration ready,Stamford Bridge Dental Ltd,CQC directory (auto-downloaded),
James Pegg Dentistry,,"7 Tanner Row, York",YO1 6JB,Bridlington,01904 622487,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),TOTR Limited,CQC directory (auto-downloaded),
Hopkins & Poyner Dental Surgery,,"29 High Petergate, York",YO1 7HP,Malton area,01904 623582,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Rameshwar Sharma,CQC directory (auto-downloaded),
Orthokind - York,,"70 Low Petergate, York",YO1 7HZ,Malton area,01904 633061,https://www.orthokind.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Orthokind Limited,CQC directory (auto-downloaded),
Andrea Ubhi,,"22 Goodramgate, York",YO1 7LG,Malton area,01904 639667,https://www.andreaubhi.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Andrea Ubhi Limited,CQC directory (auto-downloaded),
"mydentist Stonebow, York",,"Stonebow House, The Stonebow, York",YO1 7NP,Malton area,01204 799799,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Petrie Tucker and Partners Limited,CQC directory (auto-downloaded),
Stonegate Dental Studio,,"39 Stonegate, York",YO1 8AW,Pickering area,01904 653107,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Luke Staves,CQC directory (auto-downloaded),
St Saviourgate Dental Care,,"30 St Saviourgate, York",YO1 8NN,Pickering area,01904 629239,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Xeon Smiles UK Limited,CQC directory (auto-downloaded),
Crystal Clear Dental Spa,,"25 Blake Street, York",YO1 8QJ,Pickering area,01904 642595,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Bridge Street Dental Ltd,CQC directory (auto-downloaded),
Bupa Dental Care York - Lawrence Street,,"107 Lawrence Street, York",YO10 3EF,York south/east,01904 411993,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Lawrence Street Dental Practice Limited,CQC directory (auto-downloaded),Corporate Bupa — likely SOE/Exact stack but booking page blocked to bots
Restore 32 Dental Practice,,"1 Howard Street, Fishergate, York",YO10 4BQ,York south/east,01904 641167,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Smriti Bhakta and Shashwat Bhakta,CQC directory (auto-downloaded),
Valley Bridge Dental Practice,,"4 Cambridge Terrace, Scarborough",YO11 2LQ,Scarborough,01723 362020,https://www.valleybridgedental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr. John McCourt,CQC directory (auto-downloaded),website unreachable
Rosewood Dental Clinic,,"20 Ramshill Road, Scarborough",YO11 2QE,Scarborough,01723 360009,https://www.rosewood-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Rosewood Dental Clinic Limited,CQC directory (auto-downloaded),
Smile Dental Care Scarborough,Smile Dental Care Group - Scarborough,"26 - 28 Falsgrave Road, Scarborough",YO12 5AT,Scarborough,01723 413110,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Smile Care United Ltd,CQC directory (auto-downloaded),
Appletree Dental Practice,,"47 Falsgrave Road, Scarborough",YO12 5EA,Scarborough,01723 365393,https://www.appletreedp.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),The Yorkshire Dentist Ltd,CQC directory (auto-downloaded),
Falsgrave Services Limited,,"21 Falsgrave Road, Scarborough",YO12 5EA,Scarborough,01723 818584,https://www.falsgrave-dental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Falsgrave Services Limited,CQC directory (auto-downloaded),
Scarborough Dental & Implant Clinic,,"21 Falsgrave Road, Scarborough",YO12 5EA,Scarborough,01723 818584,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Falsgrave Dental Surgery,CQC directory (auto-downloaded),
Peasholm Dental Practice,,"43 Northstead Manor Drive, Scarborough",YO12 6AF,Scarborough,01723 500340,https://www.pdpdentist.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Scarborough Dental Care Limited,CQC directory (auto-downloaded),
Solis Dental Studio,,"5 Coldyhill Lane, Scarborough",YO12 6SF,Scarborough,01723 347011,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr Alin Stefan Soare,CQC directory (auto-downloaded),
Newby Dental Practice,Miss Emma Skipper,"445a, Scalby Road, Scarborough",YO12 6UA,Scarborough,01723 670500,https://www.newbydentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Miss Emma Skipper,CQC directory (auto-downloaded),
Northway Clinic,,"Northway, Scarborough",YO12 7AF,Scarborough,01423 885959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Community Dental Services CIC,CQC directory (auto-downloaded),
Smile Orthodontics Yorkshire LLP,,"Northway, Scarborough",YO12 7AF,Scarborough,01723 380543,https://www.smileorthodontics.net,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Smile Orthodontics Holdings Limited,CQC directory (auto-downloaded),
Corner House Surgery,,"73 Columbus Ravine, Scarborough",YO12 7QT,Scarborough,01723 361907,https://www.cornerhousesurgery.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Miss Phoebe Ruth Pattinson,CQC directory (auto-downloaded),
John Taylor Dental Care,,"96 Tennyson Avenue, Scarborough",YO12 7RE,Scarborough,01723 373866,https://www.johntaylordental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr. John Taylor,CQC directory (auto-downloaded),
East Ayton Dental Practice,,"Racecourse Road, East Ayton, Scarborough",YO13 9HP,Scarborough rural,01723 864295,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),East Ayton Dental Practice Limited,CQC directory (auto-downloaded),
Hunmanby Dental Practice,,"17 Bridlington Street, Hunmanby, Filey",YO14 0JR,Filey,01723 890719,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Carla Justine Pierce,CQC directory (auto-downloaded),
Mydentist - Station Avenue - Filey,,"Station Avenue, Filey",YO14 9AH,Filey,01723 512135,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Grin - Bridlington,,"8 Wellington Road, Bridlington",YO15 2BG,Bridlington,01262 679027,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Grin Limited,CQC directory (auto-downloaded),
City Health Care Dental Services - Bridlington Hospital,,"Bessingby Road, Bridlington",YO16 4QP,Bridlington,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),City Health Care Partnership CIC,CQC directory (auto-downloaded),
The Old Police House Dental Practice,,"Victoria Road, Malton",YO17 7JJ,Malton area,01653 692771,https://www.oldpolicehousedentalpractice.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr. Isobel Greenstreet,CQC directory (auto-downloaded),
The Red House Dental Practice,,"Victoria Road, Malton",YO17 7JJ,Malton area,01653 693809,https://www.redhousedentists.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Nitin Prasad,CQC directory (auto-downloaded),
The Dental Health Practice Limited,,"1 Princess Road, Malton",YO17 7JP,Malton area,01653 697615,https://www.dhpmalton.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),The Dental Health Practice Limited,CQC directory (auto-downloaded),
The Smile Rooms,,"13 Saville Street, Malton",YO17 7LL,Malton area,,https://www.thesmilerooms.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Portman Healthcare Limited,CQC directory (auto-downloaded),
Birdgate Dental Practice,,"1 Birdgate, Pickering",YO18 7AL,Pickering area,01751 474174,https://www.birdgatedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),DPK Smiles Limited,CQC directory (auto-downloaded),
Ryedale Dental Healthcare Clinic,,"4-6 Burgate, Pickering",YO18 7AU,Pickering area,01751 474460,https://www.ryedaledental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Ryedale Dental Healthcare Clinic & Implant Centre Limited,CQC directory (auto-downloaded),
Pickering Dental Health Practice,,"Hungate, Pickering",YO18 7DL,Pickering area,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),White Dental Limited,CQC directory (auto-downloaded),
Dunnington Dental Practice,,"31 York Street, Dunnington, York",YO19 5QT,York south,01904 489183,https://www.richardfisherdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Richard Fisher & Associates Ltd,CQC directory (auto-downloaded),website unreachable
Whitby Hospital,,"Springhill, Whitby",YO21 1EE,Whitby,01423 885959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Community Dental Services CIC,CQC directory (auto-downloaded),
Havelock Dental Practice,,"2 Havelock Place, Whitby",YO21 3ER,Whitby,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Rameshwar Sharma,CQC directory (auto-downloaded),
Smile Dental Care Whitby,Smile Dental Care Group - Whitby,"Ground Floor,  Former Community Hall, Whitby",YO22 4JQ,Whitby rural,01947 213110,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Smile Care United Ltd,CQC directory (auto-downloaded),
Smile Dental Care Robin Hood's Bay,Smile Dental Care Group - Robins Hood Bay,"1 Station Road, Robin Hoods Bay, Whitby",YO22 4RA,Whitby rural,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Smile Care United Ltd,CQC directory (auto-downloaded),
Nunnery Lane Dental Practice,,"91-93, Nunnery Lane, York",YO23 1AH,York west,01904 639779,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Thio and Dickens,CQC directory (auto-downloaded),
The York Dental Suite,,"Liquor Store, Bishopthorpe Road, York",YO23 1FT,York west,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Teixeira Associate Services Limited,CQC directory (auto-downloaded),
Bishopthorpe Dental Centre,,"30 Sim Balk Lane, Bishopthorpe, York",YO23 2QQ,York west,01904 703427,https://www.woodthorpedentalcentre.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Thorpe Dental Group Limited,CQC directory (auto-downloaded),website unreachable
Copmanthorpe Dental Centre,,"6 St Giles Way, Copmanthorpe, York",YO23 3XT,York west,01904 706291,https://www.woodthorpedentalcentre.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Thorpe Dental Group Limited,CQC directory (auto-downloaded),website unreachable
Blossom Cosmetic Clinic,,"60 Blossom Street, York",YO24 1AP,York south-west,0781 4741402,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Denbond Limited,CQC directory (auto-downloaded),
The Mount Dental Practice,,"96 The Mount, York",YO24 1AR,York south-west,01904 623436,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr. Robert Glover,CQC directory (auto-downloaded),
