practice_name,also_known_as,address,postcode,yo_area,phone,website,nhs_private,pms_detected,pms_confidence,pms_evidence,blast_segment,wisecall_tier,provider_name,source,notes
Woodthorpe Dental Centre,,"47 Moorcroft Road, Woodthorpe, York",YO24 2RQ,York south-west,01904 706795,https://www.woodthorpedentalcentre.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Thorpe Dental Group Limited,CQC directory (auto-downloaded),website unreachable
Acomb Dental Practice,,"16 Front Street, Acomb, York",YO24 3BZ,York south-west,01904 794021,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Portman Healthcare Limited,CQC directory (auto-downloaded),
Cornlands Road Clinic (Priory Medical Group),,"Priory Medical Centre, Cornlands Road, York",YO24 3WX,York south-west,01423 885959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Community Dental Services CIC,CQC directory (auto-downloaded),
Acorn Dental Practice,,"44 York Road, Acomb, York",YO24 4LZ,York south-west,01904 789876,https://www.acorndental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Acorn Dental (York) Limited,CQC directory (auto-downloaded),
Lilac House Specialist Dental Practice,,"34 York Road, Acomb, York",YO24 4LZ,York south-west,01904 520000,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Edward Gergely,CQC directory (auto-downloaded),
The Beeches Dental Practice,,"56 York Road, Acomb, York",YO24 4LZ,York south-west,01904 798315,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Aurum Dental Clinic Limited,CQC directory (auto-downloaded),
New Road Dental Surgery,,"6 New Road, Driffield",YO25 5DL,Driffield,01377 254194,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr. Simon Coles,CQC directory (auto-downloaded),
City Health Care Dental Services - Driffield,,"Market Place, Driffield",YO25 6AP,Driffield,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),City Health Care Partnership CIC,CQC directory (auto-downloaded),
Driffield Dental,,"1 Houndale Bank, Driffield",YO25 6BQ,Driffield,01377 241050,https://www.driffielddental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Exchange Street Practice Ltd,CQC directory (auto-downloaded),
Bridge Street Dental,,"21 Bridge Street, Driffield",YO25 6DB,Driffield,01377 257775,https://www.bridgestreetdental21.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Bridge Street Dental Ltd,CQC directory (auto-downloaded),
Orange Tree Dental,,"19 Middle Street South, Driffield",YO25 6PT,Driffield,01377 252206,https://www.orangetreedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Quarmby and Quarmby Ltd,CQC directory (auto-downloaded),
Alpha Windmill (York) Limited,,"1 Almsford House, Beckfield Lane,  Acomb, York",YO26 5PA,York west/Acomb,01904 789152,https://www.alphadental.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Alpha Windmill (York) Limited,CQC directory (auto-downloaded),
Manor House Dental Practice,,"12 Boroughbridge Road, York",YO26 5RU,York west/Acomb,01904 797434,https://www.manorhousedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr. Matthew Houlton,CQC directory (auto-downloaded),
Perfect Smile Clinic - York,,"175 Boroughbridge Road, Acomb, York",YO26 6AR,York west/Acomb,01904 786969,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Perfect Smile Clinic (UK) Ltd,CQC directory (auto-downloaded),
Poppleton Dental Practice,,"The Green, Upper Poppleton, York",YO26 6DD,York west/Acomb,01904 781987,https://www.poppletondentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Rebecca Bayne,CQC directory (auto-downloaded),
Jorvik Dental Practice,,"6 Westfield House, Millfield Lane,  Nether Poppleton, York",YO26 6GA,York west/Acomb,01904 340640,https://www.jorvikdental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Jorvik Smile Limited,CQC directory (auto-downloaded),
Clifton Moor Dental Centre,,"7 Great North Way, York Business Park,  Nether Poppleton, York",YO26 6RB,York west/Acomb,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mittal Associates,CQC directory (auto-downloaded),
PortmanDentex York,,"Manor House, Manor Lane, York",YO30 5XY,York north/Clifton,01904 623687,https://www.freshsmiles.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dentex Clinical Limited,CQC directory (auto-downloaded),
Clifton Dental Practice Limited,,"72a Clifton, York",YO30 6AW,York north/Clifton,01904 659023,https://www.cliftondentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Clifton Dental Practice Limited,CQC directory (auto-downloaded),
York Orthodontics,,"64 Marygate, York",YO30 7BH,York north/Clifton,01904 671772,https://www.yorkorthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr. Jonathan Hunter,CQC directory (auto-downloaded),
Clock House Dental,,"95 Heworth Village, York",YO31 1AN,York east/Heworth,01904 422918,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Clock House Dental,CQC directory (auto-downloaded),
Monkgate Health Centre,,"31-33, Monkgate, York",YO31 7PB,York east/Heworth,01423 885959,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Community Dental Services CIC,CQC directory (auto-downloaded),
Yorkshire Dental Suite York,,"25 Haleys Terrace, York",YO31 8SB,York east/Heworth,01904 211251,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr Abdulbaset Dalghous,CQC directory (auto-downloaded),
Huntington Dental,,"Huntington Dental Surgery, 408 Huntington Road, York",YO31 9HU,York east/Heworth,01904 632295,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Drs Prince and Hansson,CQC directory (auto-downloaded),
The Dental Hub York,,"The Dental Hub, 408 Huntington Road, York",YO31 9HU,York east/Heworth,01904 632295,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),The Dental Hub York Ltd,CQC directory (auto-downloaded),
Wortley House Dental Practice,York Dental Ltd,"70 The Village, Haxby, York",YO32 2HX,York north/Haxby,01904 763458,https://www.carholmedentalgroup.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),York Dental Limited,CQC directory (auto-downloaded),
Wigginton Dental Practice,,"18 Mill Lane, Wigginton, York",YO32 2PU,York north/Haxby,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Wigginton Dental Practice Ltd,CQC directory (auto-downloaded),
Strensall Dental Practice,,"24 Barley Rise, Strensall, York",YO32 5AA,York north/Haxby,01904 490060,https://www.richardfisherdental.co.uk,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Richard Fisher & Associates Ltd,CQC directory (auto-downloaded),website unreachable
HMP Millsike,,"Moor Lane, Full Sutton, York",YO41 1FZ,York east/Dunnington,0770 9176412,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Time for Teeth Limited,CQC directory (auto-downloaded),
HMP Full Sutton,,"Full Sutton, York",YO41 1PS,York east/Dunnington,01759 475100,https://www.gov.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Time for Teeth Limited,CQC directory (auto-downloaded),
Smile Dental Care Pocklington,Smile Dental Care Group - Pocklington,"Unit B,  14 Market Place, Pocklington, York",YO42 2AR,Pocklington,01753 523410,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Smile Care Pocklington Ltd,CQC directory (auto-downloaded),
Pocklington Dental,,"4 Barmby Road, Pocklington, York",YO42 2DP,Pocklington,01759 283129,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Beverley Highgate Dental Practice LLP,CQC directory (auto-downloaded),
Regent Street Dental Practice,Mr Andrew Alan Fox,"4 Regent Street, Pocklington, York",YO42 2QL,Pocklington,01759 304519,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr. Andrew Alan Fox,CQC directory (auto-downloaded),
Genix Healthcare Market Weighton Ltd,,"4-6 Southgate, Market Weighton, York",YO43 3AG,Market Weighton,01430 879171,https://www.genixhealthcare.com,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Genix Healthcare Market Weighton Ltd,CQC directory (auto-downloaded),Corporate site mentions portal.dental for other clinics — not confirmed for this location
Trinity House Orthodontics Market Weighton,,"Genix Healthcare 4-6 Southgate, Market Weighton, York",YO43 3AG,Market Weighton,,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Haricovert Limited,CQC directory (auto-downloaded),
Market Weighton Dental Practice,,"127A York Road, Market Weighton, York",YO43 3EE,Market Weighton,01430 872906,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Market Weighton Dental Practice Ltd,CQC directory (auto-downloaded),
Boroughbridge Dental Centre,,"Wetherby Road, Boroughbridge, York",YO51 9HS,Boroughbridge,01423 322757,https://www.boroughbridgedental.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Andrew Jones Dental Practice Limited,CQC directory (auto-downloaded),
The Howardian Dental Practice,,"11 Alan Farnaby Way, The Industrial Estate,  Sheriff Hutton, York",YO60 6PG,Castle Howard,01347 878111,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Christine Colleen Parker,CQC directory (auto-downloaded),
Red Lea Dental Practice,,"1-2 Market Place, Easingwold, York",YO61 3AD,Easingwold,01347 821435,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Ishak Practices Ltd,CQC directory (auto-downloaded),
Easingwold Dental Care,,"Horse Shoe Inn,  Long Street, Easingwold, York",YO61 3JB,Easingwold,01347 821181,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Mr Donn Anthony Tomkinson,CQC directory (auto-downloaded),
Helmsley Smiles Ltd,,"46 Bondgate, Helmsley, York",YO62 5EZ,Helmsley/Kirkbymoorside,0754 3901616,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Helmsley Smiles Ltd,CQC directory (auto-downloaded),
Alpha Dental Studio,,"37 West End, Kirkbymoorside, York",YO62 6AD,Helmsley/Kirkbymoorside,01751 432418,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Riverdale Tradeco Limited,CQC directory (auto-downloaded),
Alpha Dental Studio Kirkbymoorside,,"37 West End, Kirkbymoorside, York",YO62 6AD,Helmsley/Kirkbymoorside,01751 432418,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Alpha Dental Studio Fairfield,CQC directory (auto-downloaded),
Thirsk Smiles Ltd,,"19 Finkle Street, Thirsk",YO7 1DA,YO71,01845 522602,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Thirsk Smiles Ltd,CQC directory (auto-downloaded),
Market Place Dentistry,,"37 Market Place, Thirsk",YO7 1HA,YO71,01845 523620,https://www.marketplacedentistry.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Market Place Dentistry Ltd,CQC directory (auto-downloaded),
Kirkgate Dental Practice,,"33 Kirkgate, Thirsk",YO7 1PL,YO71,01845 522106,https://www.kirkgatedentalpractice.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Kirkgate Dental Practice,CQC directory (auto-downloaded),
Abbey Dental Care,,"51a Gowthorpe, Selby",YO8 4HE,YO84,0788 5652667,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Dr Altaf Hussain,CQC directory (auto-downloaded),
The Crescent Dental and Implant Centre,,"The Crescent, Selby",YO8 4PE,YO84,01757 290289,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Abbey Dental Care Limited,CQC directory (auto-downloaded),
Park Street Dental Practice,,"18 Park Street, Selby",YO8 4PW,YO84,01757 706829,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),PSDP LTD,CQC directory (auto-downloaded),
Market Lane Dental Care,,"2/3 Market Lane, Selby",YO8 4QA,YO84,01757 703221,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Adel Dental Practice,CQC directory (auto-downloaded),
Selby Dental Care,,"28 New Lane, Selby",YO8 4QB,YO84,01757 322221,,Unknown,,,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Rodericks Dental Partners Limited,CQC directory (auto-downloaded),
Trinity House Orthodontics,Selby Practice,"New Lane, Selby",YO8 4QB,YO84,01757 701718,https://www.trinityhouse-orthodontics.co.uk,Unknown,,none,,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),Haricovert Limited,CQC directory (auto-downloaded),
Mydentist - North Marine Road - Scarborough,,"93 North Marine Road, Scarborough",YO12 7HT,Scarborough,01723 373186,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),Whitecross Dental Care Limited,CQC directory (auto-downloaded),
Mydentist - Quay Road - Bridlington,,"69 Quay Road, Bridlington",YO16 4EL,Bridlington,01262 673277,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),Whitecross Dental Care Limited,CQC directory (auto-downloaded),
MyDentist - Burnby Lane - Pocklington,,"3 Burnby Lane, Pocklington, York",YO42 2QB,Pocklington,01759 307800,https://www.mydentist.co.uk,Unknown,MyDentist corporate,medium,MyDentist corporate:mydentist.co.uk,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),Whitecross Dental Care Limited,CQC directory (auto-downloaded),
