name,phone,company,postcode,yo_area,pms,segment,tier,website,notes
Castlegate Dental Centre,01904 653284,Castlegate Dental Centre,YO1 9RN,York south,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,https://www.castlegate-dental.co.uk,
Heslington Dental Practice,01904 904500,Heslington Dental Practice,YO10 5EA,York south/east,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,https://www.heslingtondental.co.uk,Online booking via Dentally Portal
Blossom Dental  Care,01904 654889,Blossom Dental  Care,YO24 1AQ,York south-west,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,https://www.blossomdentalcare.co.uk,Online booking via Dentally Portal (legacy dentr.net redirect)
Ainsty Dental Practice,01904 786196,Ainsty Dental Practice,YO26 6AR,York west/Acomb,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,https://www.ainstydental.co.uk,
York Dental,01904 891160,York Dental,YO30 4TN,York north/Clifton,Dentally,Dentally likely,Tier 1 - Dentally integration ready,https://yorkdentalpractice.co.uk,Portal not linked on homepage — verify on call
Smile Care York,01753 523410,Smile Care York,YO30 4WL,York north/Clifton,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,https://www.smiledentalcare.co.uk,
Stamford Bridge Dental Practice,01759 372360,Stamford Bridge Dental Practice,YO41 1BS,York east/Dunnington,Dentally,Dentally confirmed,Tier 1 - Dentally integration ready,https://www.stamfordbridgedental.com,
James Pegg Dentistry,01904 622487,James Pegg Dentistry,YO1 6JB,Bridlington,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Hopkins & Poyner Dental Surgery,01904 623582,Hopkins & Poyner Dental Surgery,YO1 7HP,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Orthokind - York,01904 633061,Orthokind - York,YO1 7HZ,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.orthokind.com,
Andrea Ubhi,01904 639667,Andrea Ubhi,YO1 7LG,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.andreaubhi.co.uk,
"mydentist Stonebow, York",01204 799799,"mydentist Stonebow, York",YO1 7NP,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Stonegate Dental Studio,01904 653107,Stonegate Dental Studio,YO1 8AW,Pickering area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
St Saviourgate Dental Care,01904 629239,St Saviourgate Dental Care,YO1 8NN,Pickering area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Crystal Clear Dental Spa,01904 642595,Crystal Clear Dental Spa,YO1 8QJ,Pickering area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Bupa Dental Care York - Lawrence Street,01904 411993,Bupa Dental Care York - Lawrence Street,YO10 3EF,York south/east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,Corporate Bupa — likely SOE/Exact stack but booking page blocked to bots
Restore 32 Dental Practice,01904 641167,Restore 32 Dental Practice,YO10 4BQ,York south/east,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Valley Bridge Dental Practice,01723 362020,Valley Bridge Dental Practice,YO11 2LQ,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.valleybridgedental.co.uk,website unreachable
Rosewood Dental Clinic,01723 360009,Rosewood Dental Clinic,YO11 2QE,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.rosewood-dental.co.uk,
Smile Dental Care Scarborough,01723 413110,Smile Dental Care Scarborough,YO12 5AT,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Appletree Dental Practice,01723 365393,Appletree Dental Practice,YO12 5EA,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.appletreedp.co.uk,
Falsgrave Services Limited,01723 818584,Falsgrave Services Limited,YO12 5EA,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.falsgrave-dental.co.uk,
Scarborough Dental & Implant Clinic,01723 818584,Scarborough Dental & Implant Clinic,YO12 5EA,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Peasholm Dental Practice,01723 500340,Peasholm Dental Practice,YO12 6AF,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.pdpdentist.co.uk,
Solis Dental Studio,01723 347011,Solis Dental Studio,YO12 6SF,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Newby Dental Practice,01723 670500,Newby Dental Practice,YO12 6UA,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.newbydentalpractice.co.uk,
Northway Clinic,01423 885959,Northway Clinic,YO12 7AF,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Smile Orthodontics Yorkshire LLP,01723 380543,Smile Orthodontics Yorkshire LLP,YO12 7AF,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.smileorthodontics.net,
Corner House Surgery,01723 361907,Corner House Surgery,YO12 7QT,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.cornerhousesurgery.co.uk,
John Taylor Dental Care,01723 373866,John Taylor Dental Care,YO12 7RE,Scarborough,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.johntaylordental.co.uk,
East Ayton Dental Practice,01723 864295,East Ayton Dental Practice,YO13 9HP,Scarborough rural,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Hunmanby Dental Practice,01723 890719,Hunmanby Dental Practice,YO14 0JR,Filey,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Mydentist - Station Avenue - Filey,01723 512135,Mydentist - Station Avenue - Filey,YO14 9AH,Filey,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Grin - Bridlington,01262 679027,Grin - Bridlington,YO15 2BG,Bridlington,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Old Police House Dental Practice,01653 692771,The Old Police House Dental Practice,YO17 7JJ,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.oldpolicehousedentalpractice.com,
The Red House Dental Practice,01653 693809,The Red House Dental Practice,YO17 7JJ,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.redhousedentists.co.uk,
The Dental Health Practice Limited,01653 697615,The Dental Health Practice Limited,YO17 7JP,Malton area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.dhpmalton.co.uk,
Birdgate Dental Practice,01751 474174,Birdgate Dental Practice,YO18 7AL,Pickering area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.birdgatedental.co.uk,
Ryedale Dental Healthcare Clinic,01751 474460,Ryedale Dental Healthcare Clinic,YO18 7AU,Pickering area,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.ryedaledental.co.uk,
Dunnington Dental Practice,01904 489183,Dunnington Dental Practice,YO19 5QT,York south,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.richardfisherdental.co.uk,website unreachable
Nunnery Lane Dental Practice,01904 639779,Nunnery Lane Dental Practice,YO23 1AH,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Bishopthorpe Dental Centre,01904 703427,Bishopthorpe Dental Centre,YO23 2QQ,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.woodthorpedentalcentre.co.uk,website unreachable
Copmanthorpe Dental Centre,01904 706291,Copmanthorpe Dental Centre,YO23 3XT,York west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.woodthorpedentalcentre.co.uk,website unreachable
Blossom Cosmetic Clinic,0781 4741402,Blossom Cosmetic Clinic,YO24 1AP,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Mount Dental Practice,01904 623436,The Mount Dental Practice,YO24 1AR,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Woodthorpe Dental Centre,01904 706795,Woodthorpe Dental Centre,YO24 2RQ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.woodthorpedentalcentre.co.uk,website unreachable
Acomb Dental Practice,01904 794021,Acomb Dental Practice,YO24 3BZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Cornlands Road Clinic (Priory Medical Group),01423 885959,Cornlands Road Clinic (Priory Medical Group),YO24 3WX,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Acorn Dental Practice,01904 789876,Acorn Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.acorndental.co.uk,
Lilac House Specialist Dental Practice,01904 520000,Lilac House Specialist Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Beeches Dental Practice,01904 798315,The Beeches Dental Practice,YO24 4LZ,York south-west,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Alpha Windmill (York) Limited,01904 789152,Alpha Windmill (York) Limited,YO26 5PA,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.alphadental.com,
Manor House Dental Practice,01904 797434,Manor House Dental Practice,YO26 5RU,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.manorhousedentalpractice.co.uk,
Perfect Smile Clinic - York,01904 786969,Perfect Smile Clinic - York,YO26 6AR,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Poppleton Dental Practice,01904 781987,Poppleton Dental Practice,YO26 6DD,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.poppletondentalpractice.co.uk,
Jorvik Dental Practice,01904 340640,Jorvik Dental Practice,YO26 6GA,York west/Acomb,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.jorvikdental.co.uk,
PortmanDentex York,01904 623687,PortmanDentex York,YO30 5XY,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.freshsmiles.co.uk,
Clifton Dental Practice Limited,01904 659023,Clifton Dental Practice Limited,YO30 6AW,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.cliftondentalpractice.co.uk,
York Orthodontics,01904 671772,York Orthodontics,YO30 7BH,York north/Clifton,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.yorkorthodontics.co.uk,
Clock House Dental,01904 422918,Clock House Dental,YO31 1AN,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Monkgate Health Centre,01423 885959,Monkgate Health Centre,YO31 7PB,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Yorkshire Dental Suite York,01904 211251,Yorkshire Dental Suite York,YO31 8SB,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Huntington Dental,01904 632295,Huntington Dental,YO31 9HU,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
The Dental Hub York,01904 632295,The Dental Hub York,YO31 9HU,York east/Heworth,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
Wortley House Dental Practice,01904 763458,Wortley House Dental Practice,YO32 2HX,York north/Haxby,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.carholmedentalgroup.co.uk,
Strensall Dental Practice,01904 490060,Strensall Dental Practice,YO32 5AA,York north/Haxby,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.richardfisherdental.co.uk,website unreachable
HMP Millsike,0770 9176412,HMP Millsike,YO41 1FZ,York east/Dunnington,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),,
HMP Full Sutton,01759 475100,HMP Full Sutton,YO41 1PS,York east/Dunnington,Unknown,Unknown PMS - manual check,Tier 3 - Unknown PMS (qualify on call),https://www.gov.uk,
Mydentist - North Marine Road - Scarborough,01723 373186,Mydentist - North Marine Road - Scarborough,YO12 7HT,Scarborough,MyDentist corporate,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),https://www.mydentist.co.uk,
Mydentist - Quay Road - Bridlington,01262 673277,Mydentist - Quay Road - Bridlington,YO16 4EL,Bridlington,MyDentist corporate,Unknown PMS - manual check,Tier 4 - Corporate chain (lower priority),https://www.mydentist.co.uk,
